id,paper_set,section,type,language,question_en,question_ar,option_a_en,option_b_en,option_c_en,option_d_en,correct_answer,marks,stream
1,A,1,mcq,en,General Knowledge Question 1: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
2,A,1,mcq,en,General Knowledge Question 2: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
3,A,1,mcq,en,General Knowledge Question 3: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
4,A,1,mcq,en,General Knowledge Question 4: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
5,A,1,mcq,en,General Knowledge Question 5: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
6,A,1,mcq,en,General Knowledge Question 6: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
7,A,1,mcq,en,General Knowledge Question 7: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
8,A,1,mcq,en,General Knowledge Question 8: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
9,A,1,mcq,en,General Knowledge Question 9: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
10,A,1,mcq,en,General Knowledge Question 10: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
11,A,1,mcq,en,General Knowledge Question 11: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
12,A,1,mcq,en,General Knowledge Question 12: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
13,A,1,mcq,en,General Knowledge Question 13: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
14,A,1,mcq,en,General Knowledge Question 14: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
15,A,1,mcq,en,General Knowledge Question 15: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
16,A,1,mcq,en,General Knowledge Question 16: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
17,A,1,mcq,en,General Knowledge Question 17: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
18,A,1,mcq,en,General Knowledge Question 18: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
19,A,1,mcq,en,General Knowledge Question 19: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
20,A,1,mcq,en,General Knowledge Question 20: Which Indian state is known as the 'Land of Five Rivers'?,,Punjab,Kerala,Gujarat,Tamil Nadu,A,1.0,
21,A,2,fill_blank,en,Complete the sentence 1: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
22,A,2,fill_blank,en,Complete the sentence 2: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
23,A,2,fill_blank,en,Complete the sentence 3: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
24,A,2,fill_blank,en,Complete the sentence 4: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
25,A,2,fill_blank,en,Complete the sentence 5: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
26,A,2,fill_blank,en,Complete the sentence 6: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
27,A,2,fill_blank,en,Complete the sentence 7: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
28,A,2,fill_blank,en,Complete the sentence 8: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
29,A,2,fill_blank,en,Complete the sentence 9: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
30,A,2,fill_blank,en,Complete the sentence 10: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
31,A,2,fill_blank,en,Complete the sentence 11: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
32,A,2,fill_blank,en,Complete the sentence 12: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
33,A,2,fill_blank,en,Complete the sentence 13: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
34,A,2,fill_blank,en,Complete the sentence 14: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
35,A,2,fill_blank,en,Complete the sentence 15: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
36,A,2,fill_blank,en,Complete the sentence 16: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
37,A,2,fill_blank,en,Complete the sentence 17: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
38,A,2,fill_blank,en,Complete the sentence 18: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
39,A,2,fill_blank,en,Complete the sentence 19: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
40,A,2,fill_blank,en,Complete the sentence 20: The students ______ finished their assignment before the bell rang.,,,,,,had,1.0,
41,A,3,mcq,both,Islamic History Q1: In which year did the Hijra occur?,السؤال الثقافي 1: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
42,A,3,mcq,both,Islamic History Q2: In which year did the Hijra occur?,السؤال الثقافي 2: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
43,A,3,mcq,both,Islamic History Q3: In which year did the Hijra occur?,السؤال الثقافي 3: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
44,A,3,mcq,both,Islamic History Q4: In which year did the Hijra occur?,السؤال الثقافي 4: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
45,A,3,mcq,both,Islamic History Q5: In which year did the Hijra occur?,السؤال الثقافي 5: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
46,A,3,mcq,both,Islamic History Q6: In which year did the Hijra occur?,السؤال الثقافي 6: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
47,A,3,mcq,both,Islamic History Q7: In which year did the Hijra occur?,السؤال الثقافي 7: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
48,A,3,mcq,both,Islamic History Q8: In which year did the Hijra occur?,السؤال الثقافي 8: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
49,A,3,mcq,both,Islamic History Q9: In which year did the Hijra occur?,السؤال الثقافي 9: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
50,A,3,mcq,both,Islamic History Q10: In which year did the Hijra occur?,السؤال الثقافي 10: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
51,A,3,mcq,both,Islamic History Q11: In which year did the Hijra occur?,السؤال الثقافي 11: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
52,A,3,mcq,both,Islamic History Q12: In which year did the Hijra occur?,السؤال الثقافي 12: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
53,A,3,mcq,both,Islamic History Q13: In which year did the Hijra occur?,السؤال الثقافي 13: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
54,A,3,mcq,both,Islamic History Q14: In which year did the Hijra occur?,السؤال الثقافي 14: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
55,A,3,mcq,both,Islamic History Q15: In which year did the Hijra occur?,السؤال الثقافي 15: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
56,A,3,mcq,both,Islamic History Q16: In which year did the Hijra occur?,السؤال الثقافي 16: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
57,A,3,mcq,both,Islamic History Q17: In which year did the Hijra occur?,السؤال الثقافي 17: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
58,A,3,mcq,both,Islamic History Q18: In which year did the Hijra occur?,السؤال الثقافي 18: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
59,A,3,mcq,both,Islamic History Q19: In which year did the Hijra occur?,السؤال الثقافي 19: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
60,A,3,mcq,both,Islamic History Q20: In which year did the Hijra occur?,السؤال الثقافي 20: في أي عام حدثت الهجرة؟,622 CE,610 CE,632 CE,615 CE,A,2.0,
61,A,4,true_false,en,Logic Statement 1: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
62,A,4,true_false,en,Logic Statement 2: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
63,A,4,true_false,en,Logic Statement 3: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
64,A,4,true_false,en,Logic Statement 4: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
65,A,4,true_false,en,Logic Statement 5: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
66,A,4,true_false,en,Logic Statement 6: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
67,A,4,true_false,en,Logic Statement 7: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
68,A,4,true_false,en,Logic Statement 8: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
69,A,4,true_false,en,Logic Statement 9: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
70,A,4,true_false,en,Logic Statement 10: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
71,A,4,true_false,en,Logic Statement 11: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
72,A,4,true_false,en,Logic Statement 12: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
73,A,4,true_false,en,Logic Statement 13: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
74,A,4,true_false,en,Logic Statement 14: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
75,A,4,true_false,en,Logic Statement 15: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
76,A,4,true_false,en,Logic Statement 16: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
77,A,4,true_false,en,Logic Statement 17: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
78,A,4,true_false,en,Logic Statement 18: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
79,A,4,true_false,en,Logic Statement 19: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
80,A,4,true_false,en,Logic Statement 20: Inductive reasoning moves from specific observations to broader generalizations.,,,,,,true,1.0,
81,A,5,descriptive,en,[HUMANITIES] Essay Question 1: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
82,A,5,descriptive,en,[HUMANITIES] Essay Question 2: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
83,A,5,descriptive,en,[SCIENCE] Essay Question 3: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
84,A,5,descriptive,en,[HUMANITIES] Essay Question 4: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
85,A,5,descriptive,en,[SCIENCE] Essay Question 5: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
86,A,5,descriptive,en,[SCIENCE] Essay Question 6: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
87,A,5,descriptive,en,[COMMERCE] Essay Question 7: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
88,A,5,descriptive,en,[SCIENCE] Essay Question 8: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
89,A,5,descriptive,en,[HUMANITIES] Essay Question 9: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
90,A,5,descriptive,en,[HUMANITIES] Essay Question 10: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
91,A,5,descriptive,en,[SCIENCE] Essay Question 11: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
92,A,5,descriptive,en,[HUMANITIES] Essay Question 12: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
93,A,5,descriptive,en,[SCIENCE] Essay Question 13: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
94,A,5,descriptive,en,[SCIENCE] Essay Question 14: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,science
95,A,5,descriptive,en,[GENERAL] Essay Question 15: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
96,A,5,descriptive,en,[GENERAL] Essay Question 16: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
97,A,5,descriptive,en,[COMMERCE] Essay Question 17: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,commerce
98,A,5,descriptive,en,[HUMANITIES] Essay Question 18: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,humanities
99,A,5,descriptive,en,[GENERAL] Essay Question 19: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
100,A,5,descriptive,en,[GENERAL] Essay Question 20: Explain the impact of sustainable development on modern economy.,,,,,,Manual Grading,5.0,general
